Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
697;PkMielWSSESklodow;;MIelec-M.C.Skàodowskiej-WSSE;PkMielWSSESklodow;01.01.1992;31.12.2004;tào;miejski;w budynku;PODKARPACKIE;Mielec;ul. M. Curie Skàodowskiej 6;50.295278;21.441667
698;PkMielZaStre;PL0258A;Mielec - Zarz•d Strefy;PkMielWIOSZarzStr;29.08.2005;31.12.2015;tào;miejski;rozproszona;PODKARPACKIE;Mielec;ul. Zarz•d Strefy;50.304008;21.471200
699;PkNiskoSzkla;PL0276A;Nisko-Szklarniowa-WIOS;PkNiskoWIOSSzklar;01.01.1989;;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Nisko;Szklarniowa;50.529892;22.112467
700;PkPolanWSSEStPomp;PL0161A;Pola‰czyk-St.pomp-WSSE;PkPolanWSSEStPomp;01.01.1994;31.12.2006;tào;pozamiejski;w budynku;PODKARPACKIE;Pola‰czyk;ul. stacja pomp wody pitnej;49.370000;22.426389
701;PkPrzemGrunw;PL0594A;Przemysl-Grunwaldzka-WIOS;PkPrzemyslWIOSGrunw;01.01.2013;;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Przemyòl;Grunwaldzka;49.784339;22.756239
702;PkPrzemWIOSDolin;;Przemyòl-Doli‰skiego-WIOó;PkPrzemWIOSDolin;03.11.1993;30.04.2002;tào;miejski;w budynku;PODKARPACKIE;Przemyòl;ul. Doli‰skiego 4;49.786667;22.758056
703;PkPrzemWIOSPDom;PL0162A;Przemyòl-Pl.Dominika‰ski-WIOS;PkPrzemWIOSPDom;01.01.2002;31.12.2011;tào;miejski;w budynku;PODKARPACKIE;Przemyòl;pl. Dominika‰ski;49.782778;22.766667
704;PkPrzemWSSEGlaz;;Przemyòl-Glazera-WSSE;PkPrzemWSSEGlaz;01.01.1993;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Przemyòl;ul. Glazera 9;49.786667;22.759167
705;PkPrzemWSSEMariac;;Przemyòl-Mariacka-WSSE;PkPrzemWSSEMariac;13.03.1985;30.06.2005;tào;miejski;w budynku;PODKARPACKIE;Przemyòl;ul. Mariacka 4;49.778333;22.788611
706;PkPrzemyslWIOSMick;PL0414A;Przemyòl-Mickiewicza-WIOS;PkPrzemyslWIOSMick;11.09.2007;31.12.2012;tào;miejski;mobilna;PODKARPACKIE;Przemyòl;ul. Mickiewicza;49.782433;22.782908
707;PkPrzewWSSERynek;;Przeworsk-Rynek-WSSE;PkPrzewWSSERynek;01.01.1981;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Przeworsk;ul. Rynek 1;50.056389;22.478056
708;PkRymZdrPark;PL0678A;Ryman¢w-Zdr¢j-Samorz•d;PkRymZdrPark;01.01.2017;;tào;podmiejski;kontenerowa stacjonarna;PODKARPACKIE;Ryman¢w-Zdr¢j;Parkowa 5;49.546539;21.851006
709;PkRymZdrWSSEZdr;PL0163A;Ryman¢w Zdr¢j - Zdrojowa - WSSE;PkRymZdrWSSEZdr;01.01.1986;31.12.2006;tào;miejski;w budynku;PODKARPACKIE;Ryman¢w-Zdr¢j;ul. Zdrojowa 53;49.546944;21.849444
710;PkRzeszPilsu;PL0736A;Rzesz¢w-Piàsudskiego;PkRzeszPilsu;01.01.2019;;komunikacyjna;miejski;kontenerowa stacjonarna;PODKARPACKIE;Rzesz¢w;Piàsudskiego;50.040675;22.004656
711;PkRzeszRejta;PL0495A;Rzesz¢w-Nowe Miasto;PkRzeszWIOSNoweMiasto;01.02.2010;;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Rzesz¢w;Rejtana;50.024242;22.010575
712;PkRzeszWIOSLang;;Rzesz¢w-Langiewicza WIOS;PkRzeszWIOSLang;01.01.1993;31.12.2004;tào;miejski;pasywna;PODKARPACKIE;Rzesz¢w;ul. Langiewicza 26;50.031111;21.985000
713;PkRzeszWIOSSzop;PL0224A;Rzesz¢w-Szopena WIOS;PkRzeszWIOSSzop;01.01.2005;31.12.2012;tào;miejski;kontenerowa stacjonarna;PODKARPACKIE;Rzesz¢w;ul. Szopena;50.034031;22.010733
714;PkRzeszWSSEGrunw;;Rzesz¢w-Grunwaldzka-WSSE;PkRzeszWSSEGrunw;01.01.2001;31.12.2003;tào;miejski;w budynku;PODKARPACKIE;Rzesz¢w;ul. Grunwaldzka;50.040278;22.001944
715;PkRzeszWSSEPilsud;PL0225A;Rzesz¢w-Pilsudskiego-WSSE;PkRzeszWSSEPilsud;01.01.2004;31.12.2009;komunikacyjna;miejski;w budynku;PODKARPACKIE;Rzesz¢w;ul. Piàsudskiego;50.041389;22.001667
716;PkRzeszWSSEPoniat;PL0226A;Rzesz¢w-Poniatowskiego-WSSE;PkRzeszWSSEPoniat;01.01.1989;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Rzesz¢w;ul. Poniatowskiego 4;50.033889;21.996944
717;PkRzeszWSSESkubisz;PL0227A;Rzesz¢w-Skubisza-WSSE;PkRzeszWSSESkubisz;01.01.1989;31.12.2006;tào;miejski;w budynku;PODKARPACKIE;Rzesz¢w;ul. Skubisza 9;50.053889;21.981944
718;PkRzeszWSSEWierzb;PL0228A;Rzesz¢w-Wierzbowa-WSSE;PkRzeszWSSEWierzb;01.01.1989;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Rzesz¢w;ul. Wierzbowa 16;50.034167;22.014444
719;PkSanokWSSEJanPawl;PL0229A;Sanok-JanaPawàa-WSSE;PkSanokWSSEJanPawl;01.01.1984;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Sanok;ul. Jana Pawàa II 38;49.571111;22.197778
720;PkSanokWSSEJezier;PL0230A;Sanok-Jezierskiego-WSSE;PkSanokWSSEJezier;01.01.1984;31.12.2009;tào;miejski;w budynku;PODKARPACKIE;Sanok;ul. Jezierskiego 39;49.550278;22.201111
