Nr;Kod stacji;Kod mi©dzynarodowy;Nazwa stacji;Stary Kod stacji;Data uruchomienia;Data zamkni©cia;Typ stacji;Typ obszaru;Rodzaj stacji;Wojew¢dztwo;MiejscowoòÜ;Ulica;WGS84 ? N;WGS84 ? E
783;PmStaGdaLubi;PL0311A;POLPHARMA Starogard Gda‰ski - Lubichowska;Pm.polpharma.01.a;01.01.2007;31.12.2017;tào;miejski;kontenerowa stacjonarna;POMORSKIE;Starogard Gda‰ski;ul. Lubichowska;53.965664;18.527636
784;PmTczeTarg07;PL0051A;AM7 Tczew;Pm.a07a;01.07.1998;31.12.2016;tào;miejski;kontenerowa stacjonarna;POMORSKIE;Tczew;ul. Targowa;54.085836;18.787506
785;PmWejhPlWejh;PL0169A;WIOó Wejherowo - Jakuba Wejhera;Pm.15.s129m;01.07.2003;31.12.2018;tào;miejski;wolnostoj•cy pobornik pyàu;POMORSKIE;Wejherowo;pl. Jakuba Wejhera 8;54.601139;18.239361
786;PmWladywHallera;PL0168A;WIOó Wàadysàawowo - Hallera;Pm11WLADw07m;23.09.2004;31.12.2015;tào;miejski;wolnostoj•cy pobornik pyàu;POMORSKIE;Wàadysàawowo;ul. Hallera;54.793639;18.409944
787;SkBuskoRzew;PL0435A;WSSE Busko Zdr¢j ul. Rzewuskiego;SkBuskoRzew;04.01.1993;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Busko-Zdr¢j;ul. Rzewuskiego 2;50.456472;20.719294
788;SkBuskoWios;PL0436A;WIOó Busko Zdr¢j, ul. Rzewuskiego;SkBuskoWios;01.01.2008;23.10.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Busko-Zdr¢j;ul. Rzewuskiego 1;50.456087;20.71942
789;SkBuskRokosz;PL0523A;Busko-Zdr¢j, ul. Rokosza;SkBuskoWios2;01.01.2010;;tào;miejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Busko-Zdr¢j;ul. Rokosza 1;50.453621;20.715640
790;SkChecBiaZag;PL0437A;Ch©ciny ul. Biaàego Zagà©bia;SkChecBiaZag;01.02.1995;30.11.2009;tào;podmiejski;w budynku;óWI®TOKRZYSKIE;Ch©ciny;ul. Biaàego Zagà©bia 1;50.80448;20.469887
791;SkKielGalcz;PL0438A;WSSE Kielce ul. Gaàczy‰skiego;SkKielGalcz;17.07.1985;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Kielce;ul. Gaàczy‰skiego 7;50.883611;20.646667
792;SkKielIXWiek;;WSSE Kielce Al. IX Wiek¢w Kielc;SkKielIXWiek;03.01.1994;31.12.2004;tào;miejski;w budynku;óWI®TOKRZYSKIE;Kielce;al. IX Wiek¢w Kielc 3;50.87594;20.629325
793;SkKielJagiel;PL0283A;Kielce, ul. Jagiello‰ska;SkKielJagielWios;01.01.2010;24.05.2018;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Kielce;ul. Jagiello‰ska 68;50.872549;20.604998
794;SkKielJagielWSSE;;WSSE Kielce ul. Jagiello‰ska;SkKielJagielWSSE;14.01.1974;31.12.2009;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Kielce;ul. Jagiello‰ska 68;50.872538;20.605046
795;SkKielKusoci;PL0482A;Kielce, ul. Kusoci‰skiego;SkKielKusoc;11.08.2008;;tào;podmiejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Kielce;ul. Kusoci‰skiego 51;50.854218;20.602583
796;SkKielTargow;PL0704A;Kielce, ul. Targowa;SkKielTargow;01.07.2018;;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Kielce;ul. Targowa 3;50.878998;20.633692
797;SkKielTransp;PL0173A;Kielce WIOó Al. IX Wiek¢w Kielc;SkKielTransp;05.04.2002;31.12.2009;komunikacyjna;miejski;w budynku;óWI®TOKRZYSKIE;Kielce;al. IX Wiek¢w Kielc 3;50.875;20.629167
798;SkKielWarsza;PL0653A;Kielce, ul. Warszawska;SkKielWarsza;29.09.2015;;tào;miejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Kielce;ul. Warszawska;50.894374;20.657988
799;SkKonsGranatMOB;PL0697A;Ko‰skie, MOBILNA;SkKonsGranatMOB;01.01.2018;31.12.2018;tào;miejski;mobilna;óWI®TOKRZYSKIE;Ko‰skie;ul. ks. J¢zefa Granata;51.189524;20.408892
800;SkKonskArmKr;PL0439A;WSSE Ko‰skie ul. Armii Krajowej;SkKonskArmKr;05.01.1994;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Ko‰skie;ul. Armii Krajowej 22;51.197886;20.412946
801;SkMalo11List;PL0596A;Maàogoszcz, ul. 11 Listopada;SkMalogCemen3;01.01.2013;12.07.2017;tào;miejski;w budynku;óWI®TOKRZYSKIE;Maàogoszcz;ul. 11 Listopada;50.808305;20.271141
802;SkMalogCemen;;Maàogoszcz Cementownia;SkMalogCemen;01.01.2003;01.03.2009;tào;pozamiejski;w budynku;óWI®TOKRZYSKIE;Maàogoszcz;Oczyszczalnia óciek¢w Komunalnych;50.827467;20.288276
803;SkMalogCemen2;PL0525A;Maàogoszcz, ul. 11 Listopada_cem2;SkMalogCemen2;01.01.2010;31.12.2012;tào;miejski;w budynku;óWI®TOKRZYSKIE;Maàogoszcz;ul. 11 Listopada;50.808311;20.271165
804;SkMaloSlonec;PL0698A;Maàogoszcz, ul. Sàoneczna;SkMaloSlonec;01.10.2017;;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Maàogoszcz;ul. Sàoneczna 18;50.809563;20.266099
805;SKNowinyCemen;PL0284A;Nowiny;SKNowinyCemen;11.02.2004;01.03.2009;przemysàowa;pozamiejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Sitk¢wka Nowiny;ul. Przemysàowa 32;50.803894;20.543278
806;SkNowiParkow;PL0563A;Nowiny, ul. Parkowa;SkNowinyCemen2;01.01.2010;;tào;podmiejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Nowiny;ul. Parkowa;50.823108;20.533506
807;SkOstrowKatD;;Ostrowiec ów. K•ty Denkowskie;SkOstrowKatD;01.07.1999;31.12.2005;przemysàowa;podmiejski;w budynku;óWI®TOKRZYSKIE;Ostrowiec ówi©tokrzyski;ul. K•ty Denkowskie;50.945917;21.462007
808;SkOstrowOsSl;;WSSE Ostrowiec ówi©tokrzyski Os. Sàoneczne;SkOstrowOsSl;03.01.1994;31.12.2007;tào;miejski;w budynku;óWI®TOKRZYSKIE;Ostrowiec ówi©tokrzyski;os. Sàoneczne 43;50.945938;21.389985
809;SkOstrowSams;PL0285A;Ostrowiec ówi©tokrzyski ul. Samsonowicza;SkOstrowSams;01.07.1999;01.02.2009;przemysàowa;podmiejski;w budynku;óWI®TOKRZYSKIE;Ostrowiec ówi©tokrzyski;ul. Samsonowicza 2;50.948629;21.433543
810;SkOstrowWios;;WIOó Ostrowiec ówi©tokrzyski, os. Sàoneczne;SkOstrowWios;14.12.2004;31.12.2007;tào;miejski;w budynku;óWI®TOKRZYSKIE;Ostrowiec ówi©tokrzyski;os. Sàoneczne 43;50.945942;21.390117
811;SkOzarOsWzgo;PL0564A;Oæar¢w, Os. Wzg¢rze 52;SkOzarowOsWz52;01.01.2012;;tào;miejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Oæar¢w;os. Wzg¢rze 52;50.887132;21.660726
812;SkOzarowMiec;PL0286A;Mieczysàaw¢w;SkOzarowMiec;01.01.1993;31.12.2011;tào;pozamiejski;w budynku;óWI®TOKRZYSKIE;Mieczysàaw¢w;ul. Mieczysàaw¢w 14;50.947775;21.729241
813;SkOzarowOsWz;PL0287A;Oæar¢w Os. Wzg¢rze;SkOzarowOsWz;01.01.1993;31.12.2011;tào;podmiejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Oæar¢w;ul. Leòna 26;50.893171;21.655157
814;SkPolaRuszcz;PL0565A;Poàaniec, ul. Ruszcza‰ska;SkPolanRuszcz;01.01.2012;;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Poàaniec;ul. Ruszcza‰ska 23;50.429014;21.277367
815;SkSandomMac;PL0440A;WSSE Sandomierz ul. Maciejowskiego;SkSandomMac;03.01.2000;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Sandomierz;ul. Maciejowskiego 17;50.685;21.729167
816;SkSkarZielnaMOB;PL0731A;Skaræysko-Kamienna, MOBILNA;SkSkarZielnaMOB;01.01.2019;31.12.2019;tào;miejski;mobilna;óWI®TOKRZYSKIE;Skaræysko-Kamienna;ul. Zielna 27;51.121100;20.880631
817;SkSkarzSlow;PL0441A;WSSE Skaræysko-Kamienna ul. Sàowackiego;SkSkarzSlow;03.01.1994;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Skaræysko-Kamienna;ul. Sàowackiego 25;51.114444;20.866111
818;SkSolecZdroj;PL0680A;Solec-Zdr¢j;SkSolecZdroj;01.01.2017;;tào;podmiejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Solec Zdr¢j;;50.358659;20.886184
819;SkStaracMur;PL0442A;WSSE Starachowice ul. Murarska;SkStaracMur;03.01.1994;31.12.2009;tào;miejski;w budynku;óWI®TOKRZYSKIE;Starachowice;ul. Murarska 14;51.050517;21.092158
820;SkStaracZlota;;WIOó Starachowice, ul. Zàota;SkStaracZlota;14.12.2004;31.12.2007;tào;miejski;w budynku;óWI®TOKRZYSKIE;Starachowice;ul. Zàota 6;51.05048;21.084699
821;SkStaraZlota;PL0566A;Starachowice, ul. Zàota;SkStaracZlota2;01.01.2012;;tào;miejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;Starachowice;ul. Zàota;51.050611;21.084175
822;SkSwietKrzyz;PL0443A;Stacja ZMóP UJK w Kielcach;SkSwKrzyzZM;01.01.2003;;tào;pozamiejski;kontenerowa stacjonarna;óWI®TOKRZYSKIE;ówi©ty Krzyæ;;50.86225;21.053006
823;SkTrzciOsiek;PL0288A;Trzcianka;SkPolanTrzc;01.01.1997;09.09.2016;tào;pozamiejski;wolnostoj•cy pobornik pyàu;óWI®TOKRZYSKIE;Trzcianka;Trzcianka 7;50.486298;21.394103
824;SlBedziBedz_kosci;;B©dzin_kosci-WSSE;SlBedziBedz_kosci;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;B©dzin;ul. Koòciuszki 58;-999;-999
825;SlBielbBiel_broni;;BielskoB_broniew-WSSE;SlBielbBiel_broni;01.01.1992;31.12.2007;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Bielsko-Biaàa;ul. Broniewskiego 21;-999;-999
826;SlBielbBiel_langi;;BielskoB_langiew-WIOó;SlBielbBiel_langi;01.01.1992;30.06.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Bielsko-Biaàa;ul. Langiewicza 28;-999;-999
827;SlBielKossak;PL0234A;Bielsko-Biaàa, ul. Kossak-Szczuckiej 19;SlBielbBiel_kossa;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Bielsko-Biaàa;ul. Kossak-Szczuckiej;49.813464;19.027318
828;SlBielPartyz;PL0705A;Bielsko-Biaàa, ul.Partyzant¢w;SlBielPartyz;01.01.2018;;komunikacyjna;miejski;kontenerowa stacjonarna;óL§SKIE;Bielsko-Biaàa;ul. Partyzant¢w;49.802075;19.048610
829;SlBielSterni;PL0499A;Bielsko-Biaàa, ul. Sternicza;SlBielbBiel_stern;30.12.2009;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Bielsko-Biaàa;ul. Sternicza 4;49.806389;19.023194
830;SlBytomByto_modrz;PL0020A;Bytom_modrz-WIOó;SlBytomByto_modrz;01.01.1994;31.12.2010;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Bytom;ul. Modrzewskiego 5;50.333333;18.896111
831;SlBytomByto_parko;;Bytom_park-WSSE;SlBytomByto_parko;01.01.1992;31.12.2007;tào;miejski;BRAK DANYCH;óL§SKIE;Bytom;ul. Parkowa 2;-999;-999
832;SlChorzChor_bator;PL0235A;Chorz¢w_batory-WIOó;SlChorzChor_bator;01.01.2005;31.12.2010;komunikacyjna;miejski;kontenerowa stacjonarna;óL§SKIE;Chorz¢w;ul. Trasa A4 Dz.Batory;50.254167;18.936944
833;SlCiesMickie;PL0236A;Cieszyn, ul. Mickiewicza 13;SlCieszCies_13mic;01.01.2005;31.12.2019;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cieszyn;ul. Mickiewicza 13;49.738136;18.639069
834;SlCieszCies_dojaz;PL0289A;Cieszyn-dojazdowa-WSSE;SlCieszCies_dojaz;01.01.2005;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cieszyn;ul. Dojazdowa 2;49.751667;18.627500
835;SlCieszCies_rynek;;Cieszyn_rynek-WSSE;SlCieszCies_rynek;01.01.1992;31.03.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cieszyn;ul. G¢rny Rynek 6;-999;-999
836;SlCzerKopaln;PL0597A;Czerwionka-Leszczyny, ul. Kopalniana;SlCzerKopaln;22.12.2013;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Czerwionka-Leszczyny;ul. Kopalniana;50.16385;18.659977
837;SlCzestCzes_arkra;PL0174A;Cz©stochowa_ak - WIOó;SlCzestCzes_arkra;01.01.1992;31.12.2009;komunikacyjna;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Armii Krajowej 2;50.817778;19.117500
838;SlCzestCzes_biega;;Cz©stochowa_biegan-WSSE;SlCzestCzes_biega;01.01.1992;30.04.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Biega‰skiego 45;-999;-999
839;SlCzestCzes_boyaz;;Cz©stochowa_boya-WSSE;SlCzestCzes_boyaz;01.01.1992;31.12.2007;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Boya Ωele‰skiego 4a;-999;-999
840;SlCzestCzes_rzasa;;Cz©stochowa_rz•sawska-WIOó;SlCzestCzes_rzasa;01.01.2005;31.12.2005;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Rz•sawska 24/28;-999;-999
841;SlCzestoArmK;PL0526A;Cz©stochowa, ul. AK/Jana Pawàa II;SlCzestCzes_arkr1;01.01.2010;;komunikacyjna;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Armii Krajowej 2;50.817217;19.118997
842;SlCzestoBacz;PL0184A;Cz©stochowa, ul. Baczy‰skiego 2;SlCzestCzes_baczy;01.01.1992;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Baczy‰skiego 2;50.836389;19.130111
843;SlCzestoZana;PL0498A;Cz©stochowa, ul. Zana 6;SlCzestCzes_zana6;01.01.2010;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Cz©stochowa;ul. Zana 6;50.801918;19.106961
844;SlDabro1000L;PL0237A;D•browa G¢rnicza, ul. Tysi•clecia 25a;SlDabroDabr_1000L;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;D•browa G¢rnicza;ul. 1000-lecia 25 a;50.329111;19.231222
845;SlDabroDabr_legio;;D•brG¢r_leg-WSSE;SlDabroDabr_legio;01.01.1992;31.12.2003;tào;miejski;BRAK DANYCH;óL§SKIE;D•browa G¢rnicza;ul. Legion¢w Polskich 69;-999;-999
846;SlDabroDabr_ziolo;;D•bG¢r_zioà-WIOó;SlDabroDabr_ziolo;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;D•browa G¢rnicza;ul. Zioàowa (Okradzion¢w);-999;-999
847;SlGliwicMewy;PL0238A;Gliwice, ul. Mewy 34;SlGliwiGliw_mewy;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Gliwice;ul. Mewy 34;50.279481;18.655736
848;SlGliwiGliw_kujaw;;Gliwice_kujaw-WIOó/WSSE;SlGliwiGliw_kujaw;01.01.1992;30.09.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Gliwice;ul. Kujawska;-999;-999
849;SlGodGliniki;PL0527A;God¢w, ul. Gliniki;SlGodowWodz_wodzi;07.09.2009;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;God¢w;ul. Gliniki;49.921875;18.471278
850;SlJastrJast_harce;PL0444A;Jastrz©bie_harcer-WSSE;SlJastrJast_harce;01.01.1992;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Jastrz©bie-Zdr¢j;ul. Harcerska 14b;49.952222;18.610278
851;SlJaworJawo_poczt;PL0445A;Jaworzno_pocztowa-WSSE;SlJaworJawo_poczt;01.01.2005;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Jaworzno;ul. Pocztowa 7;50.202222;19.277222
852;SlKatoKossut;PL0008A;Katowice, ul. Kossutha 6;SlKatowKato_kossu;01.01.1992;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Katowice;ul. Kossutha 6;50.264611;18.975028
853;SlKatoPlebA4;PL0567A;Katowice, ul. Plebiscytowa/A4;SlKatowKato_aleja;01.01.2011;;komunikacyjna;miejski;kontenerowa stacjonarna;óL§SKIE;Katowice;al. G¢rnoòl•ska;50.246795;19.019469
854;SlKatowKato_racib;PL0022A;Katowice_raciborska-WSSE;SlKatowKato_racib;01.01.2005;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Katowice;ul. Raciborska 39;50.255278;19.004167
855;SlKatowKato_weste;;Katowice_wester-WSSE;SlKatowKato_weste;01.01.1992;31.12.2007;tào;miejski;BRAK DANYCH;óL§SKIE;Katowice;ul. Obro‰c¢w Westerplatte 51;-999;-999
856;SlKlobuKlob_zamko;;Kàobuck_zamkowa-WSSE;SlKlobuKlob_zamko;01.01.1992;30.09.2003;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Kàobuck;ul. Zamkowa 12;-999;-999
857;SlKnurJedNar;PL0483A;Knur¢w, ul. Jednoòci Narodowej 5;SlKnuroKnu1_gliwi;29.04.2009;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Knur¢w;ul. Jednoòci Narodowej 5;50.233167;18.655722
858;SlKuzniGliw_wiejs;;Ku´nia Nieb_gliwic-WIOó;SlKuzniGliw_wiejs;01.01.1992;31.12.2004;tào;pozamiejski;kontenerowa stacjonarna;óL§SKIE;Ku´nia Nieborowicka;ul. Wiejska 12;-999;-999
859;SlLubliLubl_dworc;;Lubliniec_dworcowa-WSSE;SlLubliLubl_dworc;01.01.1992;30.09.2003;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Lubliniec;ul. Dworcowa 17;-999;-999
860;SlLublPiasko;PL0290A;Lubliniec, ul. Piaskowa;SlLubliLubl_piask;01.01.2005;31.12.2018;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Lubliniec;ul. Piaskowa 56;50.658357;18.69622
861;SlLublSzymal;PL0707A;Lubliniec, ul. ks. Szymaày;SlLublSzymal;01.09.2018;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Lubliniec;ul. Ks. Pàk. Jana Szymaày 3;50.675693;18.682065
862;SlMiastMias_norwi;PL0447A;Miasteczko óL._norwida-WSSE;SlMiastMias_norwi;01.01.2005;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Miasteczko ól•skie;ul. Norwida;50.489722;18.918333
863;SlMiastMias_wycis;;Miasteczko ól_wycislika-WSSE;SlMiastMias_wycis;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Miasteczko ól•skie;ul. Wyciòlika 52;-999;-999
864;SlMiastMias_zygli;;Miasteczko ól._Zyglinek-WSSE;SlMiastMias_zygli;01.01.2005;31.12.2006;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Miasteczko ól•skie;ul. Ωyglinek;-999;-999
865;SlMyszkMysz_straz;;Myszk¢w_strazacka-WSSE;SlMyszkMysz_straz;01.01.1992;30.09.2003;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Myszk¢w;ul. Straæacka 45;-999;-999
866;SlMyszMiedzi;PL0484A;Myszk¢w, ul. Miedziana 3;SlMyszkMysz_myszk;01.01.2008;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Myszk¢w;ul. Miedziana 3;50.579733;19.3267
867;SlPiekaPiek_darwi;;Piekaryól-darw-WIOó;SlPiekaPiek_darwi;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Piekary ól•skie;ul. Darwina;-999;-999
868;SlPiekaPiek_party;;Piekaryól_part-WSSE;SlPiekaPiek_party;01.01.1992;31.12.2006;tào;miejski;BRAK DANYCH;óL§SKIE;Piekary ól•skie;ul. Partyzant¢w;-999;-999
869;SlPszczBoged;PL0528A;Pszczyna, ul. Bogedaina;SlPszczPszc_boged;30.12.2009;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Pszczyna;ul. Bogedaina;49.972177;18.947218
870;SlRacibRaci_boruc;;Racib¢rz_borucin-WSSE;SlRacibRaci_boruc;01.01.2005;31.12.2007;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Borucin;St.Uzd.Wody;-999;-999
871;SlRacibRaci_studz;PL0291A;Racib¢rz_studzienna-WIOó;SlRacibRaci_studz;01.01.2005;31.12.2010;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Racib¢rz;ul. Studzienna St. IMGW;50.060833;18.191111
872;SlRacibRaci_towar;;Racib¢rz_towarzy-WSSE;SlRacibRaci_towar;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Racib¢rz;"ul. Tow.Gimnastycznego""Sok¢à""";-999;-999
873;SlRudasRuda_1maja;;Rudaól_1maja_WIOó;SlRudasRuda_1maja;01.01.1992;31.12.2013;tào;miejski;BRAK DANYCH;óL§SKIE;Ruda ól•ska;ul. 1 Maja 318;50.271944;18.863056
874;SlRybniBorki;PL0239A;Rybnik, ul. Borki 37 d;SlRybniRybn_borki;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Rybnik;ul. Borki 37 d;50.111181;18.516139
875;SlRybniRybn_janie;;Rybnik_janie-WSSE;SlRybniRybn_janie;01.01.1992;30.06.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Rybnik;ul. Kpt. Janiego (Wawok);-999;-999
876;SlRybniRybn_szafr;PL0448A;Rybnik_szafr-WSSE;SlRybniRybn_szafr;01.01.1992;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Rybnik;ul. Szafranka 7;50.095556;18.547500
877;SlSosnoLubel;PL0529A;Sosnowiec, ul. Lubelska 51;SlSosnoSosn_lubel;01.04.2010;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Sosnowiec;ul. Lubelska 51;50.285956;19.184399
878;SlSosnoSosn_narut;PL0041A;Sosnowiec_narut-WIOó/WSSE;SlSosnoSosn_narut;01.01.1992;29.02.2008;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Sosnowiec;ul. Narutowicza;50.273889;19.146956
879;SlTarnoLitew;PL0530A;Tarnowskie G¢ry, ul. Litewska;SlTarnoTarn_litew;01.01.2010;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Tarnowskie G¢ry;ul. Litewska;50.444736;18.829639
880;SlTychyTolst;PL0240A;Tychy, ul. Toàstoja 1;SlTychyTych_tolst;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Tychy;ul. Toàstoja 1;50.099903;18.990236
881;SlUstroCies_sanat;PL0029A;Ustro‰_sanat-WIOó;SlUstroCies_sanat;01.03.1996;31.12.2009;tào;miejski;w budynku;óL§SKIE;Ustro‰;ul. Sanatoryjna 1;49.724722;18.825000
882;SlUstronSana;PL0568A;Ustro‰, ul. Sanatoryjna 7;SlUstroCies_sana7;01.01.2012;;tào;podmiejski;kontenerowa stacjonarna;óL§SKIE;Ustro‰;ul. Sanatoryjna 7;49.719731;18.826722
883;SlWodzGalczy;PL0241A;Wodzisàaw ól•ski, ul. Gaàczy‰skiego 1;SlWodziWodz_galcz;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Wodzisàaw ól•ski;ul. Gaàczy‰skiego 1;50.007629;18.455548
884;SlWodziWodz_bogum;PL0292A;Wodzisàaw_boguminska-WSSE;SlWodziWodz_bogum;01.01.1992;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Wodzisàaw ól•ski;ul. Bogumi‰ska 3;50.000556;18.458333
885;SlWojkoBedz_pader;;Wojkowice_pader-WIOó;SlWojkoBedz_pader;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Wojkowice;ul. Paderewskiego 88;-999;-999
886;SlZabrzZabr_3maja;;Zabrze_3maja-WSSE;SlZabrzZabr_3maja;01.01.1992;31.12.2007;tào;miejski;BRAK DANYCH;óL§SKIE;Zabrze;ul. 3 Maja 64;-999;-999
887;SlZabrzZabr_wolno;;Zabrze_wolno-WIOS;SlZabrzZabr_wolno;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zabrze;ul. Wolnoòci;-999;-999
888;SlZabSkloCur;PL0242A;Zabrze, ul. M. Curie-Skàodowskiej 34;SlZabrzZabr_sklod;01.01.2001;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zabrze;ul. M. Skàodowskiej-Curie 34;50.3165;18.772375
889;SlZawGalczyn;PL0746A;Zawiercie, ul. K.I.Gaàczy‰skiego 3;SlZawGalczyn;12.08.2019;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zawiercie;ul. K.I.Gaàczy‰skiego 3;50.493045;19.439012
890;SlZawieZawi_listo;;Zawiercie-11listop-WSSE;SlZawieZawi_listo;01.01.1992;31.12.2004;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zawiercie;ul. 11 Listopada 15;-999;-999
891;SlZawieZawi_pilsu;;Zawiercie_piàsuds-WSSE;SlZawieZawi_pilsu;01.01.1992;31.12.2007;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zawiercie;ul. Piàsudskiego 47;-999;-999
892;SlZawSkloCur;PL0293A;Zawiercie, ul. M. Skàodowskiej-Curie 16;SlZawieZawi_zawie;01.07.2006;31.12.2018;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Zawiercie;ul. Skàodowskiej-Curie 16;50.47954;19.43301
893;SlZlotPotLes;PL0243A;Zàoty Potok, Leònicz¢wka;SlZlotyJano_lesni;01.01.2005;;tào;pozamiejski;kontenerowa stacjonarna;óL§SKIE;Zàoty Potok;Leònicz¢wka Kamienna G¢ra;50.710889;19.458797
894;SlZorymZory_wojsk;PL0449A;Ωory_wojska-WSSE;SlZorymZory_wojsk;01.01.2005;31.12.2009;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Ωory;ul. Wojska Polskiego 25;50.045278;18.684444
895;SlZorySikor2;PL0684A;Ωory, Os. Gen. Wàadysàawa Sikorskiego 52_(2);SlZorySikor2;01.01.2017;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Ωory;ul. Sikorskiego 52;50.029416;18.689527
896;SlZorySikors;PL0489A;Ωory, Os. Gen. Wàadysàawa Sikorskiego 52;SlZoryzZory_sikor;19.08.2008;31.12.2016;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Ωory;ul. Sikorskiego 52;50.028681;18.691222
897;SlZywieKoper;PL0294A;Ωywiec, ul. Kopernika 83 a;SlZywieZywi_koper;01.01.2005;;tào;miejski;kontenerowa stacjonarna;óL§SKIE;Ωywiec;ul. Kopernika 83 a;49.671602;19.234446
